               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029907,            0.019408,           0.0012665,             0.98535,             0.99658,             0.99365,             0.65508,            0.017741,            0.011854,          0.00044906,            0.006535,            0.006535,            0.006535
                  37,            0.031566,            0.019286,          0.00087116,             0.98855,             0.99288,             0.99429,             0.63265,            0.020321,            0.012116,          0.00053286,            0.006436,            0.006436,            0.006436
                  38,            0.030281,            0.019586,           0.0011635,             0.98465,             0.99405,             0.99383,             0.69755,            0.016899,            0.012061,          0.00046737,            0.006337,            0.006337,            0.006337
                  39,              0.0288,            0.020351,           0.0011603,             0.98414,             0.99886,             0.99415,              0.7006,            0.015567,            0.011721,          0.00035313,            0.006238,            0.006238,            0.006238
                  40,            0.030856,            0.018911,          0.00068335,             0.98711,              0.9971,             0.99463,             0.70767,            0.017495,            0.011588,          0.00030928,            0.006139,            0.006139,            0.006139
                  41,            0.030423,            0.019984,            0.001253,             0.98628,             0.99654,             0.99241,             0.62246,             0.01963,            0.011865,          0.00037644,             0.00604,             0.00604,             0.00604
                  42,            0.030785,            0.017923,           0.0011132,             0.98262,             0.99315,             0.98966,             0.65417,            0.017039,            0.011676,          0.00041321,            0.005941,            0.005941,            0.005941
                  43,             0.02713,            0.018844,           0.0010733,             0.97984,             0.99587,             0.99365,              0.7027,            0.016651,            0.011607,          0.00031009,            0.005842,            0.005842,            0.005842
                  44,            0.028168,            0.019265,           0.0013436,             0.98611,             0.99658,             0.99424,             0.69086,            0.017505,            0.011584,          0.00029817,            0.005743,            0.005743,            0.005743
                  45,            0.029001,            0.018651,          0.00077456,             0.98705,             0.99294,             0.99476,             0.59747,            0.020306,            0.012584,          0.00034461,            0.005644,            0.005644,            0.005644
                  46,             0.02905,            0.018193,          0.00073478,             0.98599,             0.99685,              0.9932,             0.70922,            0.015825,            0.011842,          0.00032428,            0.005545,            0.005545,            0.005545
                  47,            0.027543,            0.017805,          0.00070015,              0.9867,             0.99678,             0.99392,             0.72224,            0.014582,            0.011266,          0.00033201,            0.005446,            0.005446,            0.005446
                  48,            0.026727,            0.016874,          0.00062223,             0.98617,             0.99371,             0.98995,             0.69958,            0.015949,            0.011015,           0.0003614,            0.005347,            0.005347,            0.005347
                  49,            0.028088,            0.018388,          0.00073657,             0.99158,             0.99576,              0.9949,             0.70098,            0.016181,            0.011421,          0.00037333,            0.005248,            0.005248,            0.005248
                  50,            0.026467,            0.018356,          0.00075093,             0.99015,             0.99761,             0.99443,             0.73001,            0.014369,            0.010985,          0.00032208,            0.005149,            0.005149,            0.005149
                  51,            0.026424,            0.018856,          0.00075084,             0.98943,             0.99616,             0.99325,             0.70808,            0.015221,            0.011075,          0.00028068,             0.00505,             0.00505,             0.00505
                  52,            0.028172,            0.017866,          0.00078803,             0.98984,             0.99629,             0.99466,             0.69669,            0.015131,            0.011174,          0.00024762,            0.004951,            0.004951,            0.004951
                  53,            0.026003,            0.017134,          0.00059174,             0.98956,             0.99658,              0.9935,              0.7139,             0.01488,            0.011046,          0.00026975,            0.004852,            0.004852,            0.004852
                  54,            0.026983,            0.017548,          0.00068911,             0.99011,             0.99512,             0.99469,             0.73004,            0.014472,            0.010951,          0.00034317,            0.004753,            0.004753,            0.004753
                  55,            0.025596,            0.017664,          0.00081856,             0.98412,             0.99774,              0.9947,             0.74132,            0.014283,            0.010839,          0.00034551,            0.004654,            0.004654,            0.004654
                  56,            0.025641,            0.017751,          0.00051439,             0.98711,             0.99757,             0.99473,             0.70574,            0.015212,            0.010948,           0.0002997,            0.004555,            0.004555,            0.004555
                  57,            0.026776,            0.017904,          0.00059985,             0.98967,             0.99349,             0.99431,             0.75076,            0.014874,            0.010744,          0.00022498,            0.004456,            0.004456,            0.004456
                  58,            0.025382,            0.016895,          0.00049673,             0.99012,             0.99557,             0.99461,             0.74393,            0.013765,            0.010892,          0.00020885,            0.004357,            0.004357,            0.004357
                  59,            0.024933,             0.01821,          0.00056791,             0.98905,              0.9962,             0.99487,             0.73506,            0.014407,            0.010737,          0.00023013,            0.004258,            0.004258,            0.004258
                  60,            0.026311,            0.017361,          0.00076647,             0.98977,             0.99578,             0.99469,             0.72698,            0.013853,            0.010652,          0.00023529,            0.004159,            0.004159,            0.004159
                  61,            0.025801,            0.017138,           0.0010777,             0.98796,             0.99665,             0.99486,             0.74394,            0.013339,            0.010888,          0.00024882,             0.00406,             0.00406,             0.00406
                  62,            0.025583,            0.017278,           0.0005032,             0.99013,              0.9965,             0.99449,             0.74604,            0.014132,            0.010655,          0.00023778,            0.003961,            0.003961,            0.003961
                  63,            0.023737,            0.017234,          0.00040527,             0.98963,             0.99714,             0.99427,              0.7487,            0.013157,            0.010457,          0.00020827,            0.003862,            0.003862,            0.003862
                  64,            0.025516,            0.017074,          0.00059322,             0.98919,             0.99574,             0.99487,             0.72561,            0.015352,            0.010575,          0.00020398,            0.003763,            0.003763,            0.003763
                  65,            0.024582,            0.017277,          0.00058251,             0.98665,             0.99697,             0.99432,             0.73899,            0.015822,            0.010478,          0.00017388,            0.003664,            0.003664,            0.003664
                  66,            0.024493,            0.016489,          0.00084555,             0.98975,             0.99658,             0.99497,             0.74234,            0.015107,            0.010468,          0.00016581,            0.003565,            0.003565,            0.003565
                  67,            0.024168,            0.017242,           0.0004367,             0.98962,             0.99658,             0.99427,             0.73584,            0.015157,            0.010675,          0.00016557,            0.003466,            0.003466,            0.003466
                  68,            0.023223,            0.016117,          0.00047319,             0.98908,             0.99671,             0.99428,             0.73881,            0.013538,            0.010485,          0.00015852,            0.003367,            0.003367,            0.003367
                  69,            0.023763,            0.017884,          0.00054749,             0.98833,             0.99641,             0.99426,             0.76116,            0.013548,            0.010146,          0.00017296,            0.003268,            0.003268,            0.003268
                  70,            0.023365,            0.015787,          0.00039369,             0.99139,             0.99315,             0.99458,             0.76118,            0.013879,            0.010165,          0.00017511,            0.003169,            0.003169,            0.003169
                  71,            0.023639,            0.016853,          0.00044575,             0.99263,             0.99377,             0.99494,              0.7683,            0.012824,            0.010283,           0.0001676,             0.00307,             0.00307,             0.00307
                  72,            0.022908,            0.017052,          0.00039743,             0.99249,             0.99492,             0.99472,             0.75446,            0.013179,            0.010274,          0.00017226,            0.002971,            0.002971,            0.002971
                  73,            0.023172,            0.016119,          0.00034172,             0.99246,             0.99658,             0.99493,             0.75693,            0.013126,            0.010224,          0.00013795,            0.002872,            0.002872,            0.002872
                  74,            0.023426,            0.018225,           0.0003045,             0.98851,             0.99701,              0.9949,             0.76181,            0.013043,            0.010101,          0.00013374,            0.002773,            0.002773,            0.002773
                  75,            0.022271,            0.017181,          0.00032085,             0.99003,             0.99659,             0.99493,             0.77312,            0.012732,            0.010102,            0.000123,            0.002674,            0.002674,            0.002674
