               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037724,            0.028618,           0.0055222,             0.79962,             0.73359,             0.79743,              0.4453,            0.025208,            0.011362,           0.0014953,            0.006535,            0.006535,            0.006535
                  37,            0.036744,            0.029497,           0.0042721,             0.66471,             0.72774,             0.72211,             0.37451,             0.02815,            0.012078,           0.0011761,            0.006436,            0.006436,            0.006436
                  38,            0.034568,            0.027819,           0.0054342,             0.75489,             0.78334,             0.79736,             0.46293,            0.024448,            0.011339,            0.001253,            0.006337,            0.006337,            0.006337
                  39,            0.036395,            0.029319,           0.0070205,              0.6825,             0.76636,             0.72932,             0.41374,            0.025012,            0.011468,           0.0014651,            0.006238,            0.006238,            0.006238
                  40,            0.033646,            0.027563,            0.006247,             0.70851,             0.71913,             0.72255,             0.40929,            0.024985,             0.01146,           0.0018663,            0.006139,            0.006139,            0.006139
                  41,            0.036408,            0.030073,           0.0056187,             0.67077,             0.74733,             0.70575,             0.37038,            0.026174,            0.011564,           0.0012075,             0.00604,             0.00604,             0.00604
                  42,            0.034866,             0.02925,           0.0053648,             0.74243,             0.76437,             0.77903,              0.4354,            0.025227,            0.011033,           0.0011641,            0.005941,            0.005941,            0.005941
                  43,             0.03385,            0.028782,            0.005063,             0.80312,              0.6691,             0.76367,             0.44185,            0.024667,            0.011288,           0.0011796,            0.005842,            0.005842,            0.005842
                  44,            0.032593,             0.02976,           0.0041034,             0.79078,             0.75132,             0.80198,             0.47131,            0.024488,            0.011134,           0.0012605,            0.005743,            0.005743,            0.005743
                  45,            0.034244,            0.028325,           0.0043021,             0.76832,             0.74901,               0.799,             0.47929,              0.0244,             0.01091,           0.0015067,            0.005644,            0.005644,            0.005644
                  46,            0.034179,             0.02715,           0.0038104,             0.76905,             0.79239,             0.80291,             0.46028,            0.024541,            0.010793,           0.0010607,            0.005545,            0.005545,            0.005545
                  47,            0.033676,            0.027501,           0.0045825,             0.76451,             0.78333,             0.79132,             0.46628,            0.023715,            0.010516,           0.0011902,            0.005446,            0.005446,            0.005446
                  48,            0.033365,            0.027522,           0.0070089,             0.80718,             0.77351,             0.78206,             0.45863,            0.023234,            0.010739,           0.0012477,            0.005347,            0.005347,            0.005347
