               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089462,             0.14083,            0.084432,           0.0058816,            0.088361,           0.0064996,           0.0017743,            0.075863,            0.095139,            0.084205,            0.070166,           0.0033149,           0.0033149
                   1,            0.070143,             0.11822,            0.081633,            0.026109,             0.62445,            0.075961,             0.02485,            0.053242,            0.072282,            0.079349,              0.0401,           0.0065824,           0.0065824
                   2,            0.062579,             0.10515,            0.077425,             0.76045,             0.12068,            0.087197,            0.036334,            0.060338,            0.065838,            0.073386,           0.0099681,           0.0097839,           0.0097839
