               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070527,            0.039782,            0.049967,           0.0083068,             0.29596,            0.010101,           0.0027607,            0.067909,            0.020026,            0.046869,            0.070211,           0.0033099,           0.0033099
                   1,            0.054429,            0.032112,            0.036933,             0.64279,             0.15632,            0.094474,            0.025172,            0.062197,            0.028828,            0.038567,            0.040146,           0.0065774,           0.0065774
                   2,            0.049996,            0.029223,            0.027927,             0.17664,             0.44942,             0.21153,            0.053986,            0.061245,            0.041396,            0.027578,            0.010014,            0.009779,            0.009779
                   3,            0.045768,            0.027413,            0.021212,             0.68565,             0.57886,             0.58928,             0.16687,            0.045734,            0.020792,            0.013984,            0.009703,            0.009703,            0.009703
                   4,            0.042205,             0.02598,            0.015852,             0.61274,             0.57324,             0.54892,             0.16322,            0.050737,            0.016446,            0.029309,            0.009703,            0.009703,            0.009703
                   5,             0.04024,            0.024889,            0.013768,             0.78517,             0.80396,             0.79759,             0.32222,            0.039255,            0.014292,           0.0096193,            0.009604,            0.009604,            0.009604
                   6,            0.038638,            0.024446,            0.011088,             0.76313,             0.76928,             0.76794,             0.28662,            0.041775,            0.013444,            0.006366,            0.009505,            0.009505,            0.009505
                   7,            0.037305,             0.02376,            0.010358,             0.76467,             0.79237,              0.7668,              0.2925,            0.042814,             0.01395,           0.0034008,            0.009406,            0.009406,            0.009406
                   8,            0.036169,            0.023385,           0.0091315,             0.86269,             0.87784,             0.87986,             0.34822,            0.039772,            0.013142,           0.0046038,            0.009307,            0.009307,            0.009307
                   9,            0.035516,            0.023086,            0.008671,             0.77055,             0.77554,             0.78004,             0.27797,            0.042824,            0.013739,           0.0054727,            0.009208,            0.009208,            0.009208
                  10,            0.034671,            0.022579,           0.0076189,              0.8782,             0.90145,             0.89999,             0.35076,            0.038001,            0.012741,           0.0034058,            0.009109,            0.009109,            0.009109
                  11,              0.0342,            0.022276,           0.0071533,             0.88801,             0.89624,             0.90048,             0.41412,            0.035974,            0.012925,           0.0015323,             0.00901,             0.00901,             0.00901
                  12,            0.033476,            0.021935,           0.0069515,             0.90414,             0.92626,             0.93783,             0.44381,            0.034683,            0.012557,           0.0019633,            0.008911,            0.008911,            0.008911
                  13,            0.033008,            0.021681,           0.0065567,             0.90062,             0.90613,             0.92139,             0.44781,             0.03329,            0.012532,           0.0033258,            0.008812,            0.008812,            0.008812
                  14,            0.032704,            0.021701,           0.0068778,             0.91063,             0.90285,              0.9233,             0.43312,            0.035378,            0.012563,           0.0027901,            0.008713,            0.008713,            0.008713
                  15,            0.032193,             0.02127,           0.0061667,             0.91492,             0.94811,             0.94398,             0.47721,            0.032772,            0.012367,          0.00086077,            0.008614,            0.008614,            0.008614
                  16,            0.031587,            0.021264,           0.0056556,             0.87084,             0.89802,             0.88149,             0.31996,            0.040281,            0.012311,           0.0009723,            0.008515,            0.008515,            0.008515
