               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026889,            0.018922,           0.0036861,             0.91475,             0.95611,               0.954,             0.53527,            0.030571,            0.011613,           0.0010079,            0.006535,            0.006535,            0.006535
                  37,            0.026586,            0.018935,           0.0034335,             0.92807,             0.95901,             0.95877,             0.55846,            0.028677,             0.01132,          0.00041887,            0.006436,            0.006436,            0.006436
                  38,            0.026939,            0.018837,           0.0035977,             0.92314,             0.95004,              0.9521,             0.54493,            0.029792,            0.011322,           0.0006156,            0.006337,            0.006337,            0.006337
                  39,            0.026755,            0.018864,           0.0033937,             0.93156,             0.96369,             0.96252,             0.58383,            0.028229,            0.011277,          0.00042038,            0.006238,            0.006238,            0.006238
                  40,            0.026354,            0.018764,           0.0032336,             0.92139,             0.96676,             0.96006,             0.56601,            0.028857,            0.011267,          0.00083129,            0.006139,            0.006139,            0.006139
                  41,            0.026335,            0.018587,           0.0035044,             0.92371,             0.95863,              0.9497,             0.52416,            0.030386,            0.011493,          0.00042536,             0.00604,             0.00604,             0.00604
                  42,            0.026194,            0.018653,           0.0036781,             0.92711,              0.9711,             0.96419,              0.5684,            0.028927,            0.011329,          0.00060264,            0.005941,            0.005941,            0.005941
                  43,            0.026364,            0.018755,           0.0033189,             0.92471,             0.96263,              0.9642,             0.58792,             0.02806,            0.011302,          0.00046974,            0.005842,            0.005842,            0.005842
                  44,            0.025688,            0.018524,           0.0032358,             0.93049,             0.95786,             0.96012,             0.57824,            0.027955,            0.011217,          0.00044638,            0.005743,            0.005743,            0.005743
                  45,             0.02576,            0.018485,           0.0031552,             0.93778,             0.95308,             0.95797,             0.56109,            0.029107,            0.011286,          0.00039955,            0.005644,            0.005644,            0.005644
                  46,            0.025449,            0.018413,           0.0029608,             0.92806,             0.95992,              0.9594,             0.57468,             0.02851,            0.011356,          0.00038189,            0.005545,            0.005545,            0.005545
                  47,            0.025369,            0.018172,           0.0029629,             0.92894,             0.96573,             0.95924,             0.57373,            0.028357,             0.01129,          0.00070226,            0.005446,            0.005446,            0.005446
                  48,            0.025524,            0.018298,           0.0031064,             0.92861,             0.96586,             0.96554,             0.57701,            0.029048,            0.011236,          0.00036309,            0.005347,            0.005347,            0.005347
                  49,            0.025074,            0.018132,           0.0027078,             0.92312,             0.96264,             0.95939,             0.57653,            0.028206,            0.011183,          0.00033653,            0.005248,            0.005248,            0.005248
                  50,            0.025314,            0.017916,           0.0030424,             0.92749,             0.95724,             0.95536,             0.58175,            0.028241,            0.011188,          0.00039939,            0.005149,            0.005149,            0.005149
                  51,            0.024958,            0.018101,           0.0029157,             0.93919,             0.96059,             0.96202,             0.58743,            0.027877,            0.011158,          0.00033294,             0.00505,             0.00505,             0.00505
                  52,            0.024884,            0.017991,           0.0030748,             0.92787,             0.96889,             0.96119,             0.59285,            0.028082,            0.011128,          0.00060793,            0.004951,            0.004951,            0.004951
                  53,            0.024507,            0.017942,           0.0027173,             0.92734,             0.96027,             0.95697,             0.57785,            0.028713,            0.011279,          0.00034656,            0.004852,            0.004852,            0.004852
